                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.2304,                 1.3913,                 1.2107,                 0.5956,                0.59066,                0.61027,                 0.3687,                 1.3146,                 1.4107,                 1.3057,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2587,                 1.3509,                 1.2251,                0.63167,                0.60307,                0.64514,                0.39199,                 1.3121,                 1.3705,                 1.3112,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2659,                 1.3572,                 1.2389,                0.60021,                0.63187,                0.62153,                0.37667,                  1.327,                 1.4135,                 1.3235,                0.00101,                0.00101,                0.00101
                     52,                 1.2594,                  1.357,                 1.2355,                 0.5648,                0.64889,                0.61542,                0.37836,                 1.2858,                 1.3875,                 1.2895,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2445,                 1.3298,                 1.2347,                0.62478,                0.58516,                0.64895,                0.37905,                 1.3196,                  1.386,                 1.3245,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.208,                 1.2941,                 1.2035,                0.64334,                0.57692,                0.62642,                0.38306,                 1.2836,                 1.3773,                 1.2863,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2445,                 1.3762,                 1.2303,                0.64966,                0.62637,                0.63746,                0.38446,                 1.3119,                 1.3612,                 1.3083,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2261,                 1.3236,                 1.1925,                0.65511,                0.62363,                0.64936,                0.40625,                 1.2662,                  1.334,                 1.2635,               0.000911,               0.000911,               0.000911
                     57,                 1.2071,                 1.2978,                 1.1869,                 0.6236,                0.61901,                0.63258,                0.40505,                 1.2552,                 1.3492,                 1.2733,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2067,                 1.2517,                 1.1964,                0.61353,                0.67582,                0.64062,                0.37957,                 1.2973,                 1.3768,                  1.313,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2063,                 1.2708,                 1.1964,                0.63121,                0.61264,                0.66335,                0.40961,                 1.2636,                 1.3343,                 1.2877,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2242,                 1.3046,                 1.2176,                0.58498,                0.64668,                0.64083,                0.38424,                 1.3087,                 1.3778,                 1.3126,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2046,                 1.2532,                 1.2033,                0.65598,                0.65659,                0.69092,                0.42846,                 1.2432,                 1.3026,                 1.2719,               0.000812,               0.000812,               0.000812
                     62,                 1.2064,                 1.2604,                 1.2045,                0.69203,                0.61116,                0.67509,                0.41654,                 1.3003,                  1.307,                 1.2936,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1912,                 1.2581,                 1.1929,                0.63114,                0.67689,                0.68799,                0.41794,                 1.2828,                 1.2783,                 1.2965,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1864,                 1.2272,                 1.1828,                0.61094,                0.67298,                0.65416,                0.39814,                 1.2762,                 1.3363,                 1.2838,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1782,                 1.2888,                 1.1854,                0.57689,                  0.663,                0.65587,                0.39953,                 1.2887,                 1.3211,                  1.272,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1845,                 1.2351,                 1.1855,                0.65017,                0.65934,                0.65786,                0.41346,                 1.2863,                 1.3009,                 1.2717,               0.000713,               0.000713,               0.000713
                     67,                 1.1893,                 1.2289,                 1.1815,                0.61292,                0.67033,                0.65716,                 0.4023,                 1.3234,                  1.319,                 1.2933,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1466,                  1.199,                 1.1601,                0.66742,                0.66158,                0.67739,                0.41685,                 1.2745,                  1.307,                 1.2835,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1597,                  1.215,                 1.1744,                 0.6939,                0.61654,                0.70052,                0.42671,                 1.2435,                 1.2977,                   1.25,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1761,                 1.1914,                 1.1809,                0.66749,                0.63974,                0.66622,                0.41294,                 1.2773,                 1.3243,                  1.274,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1437,                 1.1793,                  1.166,                0.67333,                0.67951,                0.69793,                0.42917,                 1.2827,                 1.2487,                 1.2905,               0.000614,               0.000614,               0.000614
                     72,                 1.1713,                 1.1982,                 1.1764,                0.68621,                0.65659,                0.69172,                0.42851,                 1.2626,                 1.2642,                 1.2632,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1227,                 1.1561,                 1.1519,                  0.671,                0.60512,                0.67323,                 0.4191,                 1.2565,                 1.2616,                 1.2664,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1339,                 1.1593,                 1.1703,                0.65915,                0.66408,                0.67593,                0.43667,                 1.2577,                 1.2349,                 1.2463,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.1417,                 1.1277,                 1.1451,                 0.6369,                0.69231,                0.68893,                0.43074,                 1.2404,                 1.2153,                 1.2534,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1279,                 1.1317,                 1.1443,                0.67008,                  0.664,                0.68257,                0.41593,                 1.2838,                 1.2886,                 1.2846,               0.000515,               0.000515,               0.000515
                     77,                 1.1116,                 1.1211,                 1.1352,                0.64483,                0.68407,                0.70066,                0.43314,                 1.2507,                 1.2282,                 1.2595,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1248,                 1.1304,                  1.144,                0.61054,                0.67185,                0.64694,                0.41726,                 1.2122,                 1.2839,                 1.2463,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.1091,                 1.1358,                 1.1239,                0.70752,                0.65127,                0.70474,                0.43845,                 1.2458,                 1.2344,                 1.2523,              0.0004556,              0.0004556,              0.0004556
                     80,                  1.122,                  1.098,                 1.1401,                0.68409,                0.66035,                0.70118,                0.43855,                 1.2466,                 1.2081,                 1.2743,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0935,                 1.0908,                  1.127,                0.62354,                 0.6689,                0.69047,                 0.4385,                 1.2196,                 1.2501,                 1.2519,               0.000416,               0.000416,               0.000416
                     82,                 1.0792,                 1.0418,                 1.1177,                0.69672,                0.63462,                0.68837,                0.44134,                 1.2375,                 1.2287,                 1.2534,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0924,                 1.0679,                 1.1305,                0.69142,                0.68956,                0.71465,                0.44972,                 1.2244,                 1.2103,                 1.2542,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0581,                 1.0675,                 1.1197,                0.67821,                0.71154,                0.70476,                0.43973,                 1.2322,                 1.2067,                  1.248,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0589,                 1.0442,                 1.1093,                0.67154,                0.67582,                0.71138,                0.44748,                 1.2499,                 1.2053,                 1.2707,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0869,                  1.069,                  1.137,                0.71729,                0.61538,                0.69833,                0.43899,                 1.2496,                 1.2006,                 1.2613,               0.000317,               0.000317,               0.000317
                     87,                  1.084,                 1.0647,                 1.1203,                0.67052,                0.67308,                 0.7019,                0.44539,                 1.2066,                 1.2224,                 1.2274,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0804,                 1.0476,                 1.1161,                0.69415,                0.64835,                0.69858,                0.44071,                 1.2423,                 1.2397,                  1.259,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0541,                 1.0292,                 1.1096,                0.68084,                0.65052,                0.69907,                0.44034,                 1.2314,                 1.2168,                 1.2469,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0482,                  1.006,                 1.0983,                0.71107,                0.63187,                0.70037,                 0.4498,                 1.2176,                 1.2073,                 1.2374,              0.0002378,              0.0002378,              0.0002378
                     91,                0.99531,                0.93076,                  1.086,                0.69659,                0.67582,                0.70659,                0.44027,                 1.2453,                 1.1967,                 1.2599,               0.000218,               0.000218,               0.000218
                     92,                 0.9844,                0.87537,                 1.0733,                0.68808,                0.67875,                0.69654,                0.44678,                 1.2278,                 1.2108,                 1.2517,              0.0001982,              0.0001982,              0.0001982
                     93,                0.98623,                0.87541,                 1.0713,                0.65874,                0.67878,                0.70584,                0.45412,                 1.2293,                  1.176,                 1.2486,              0.0001784,              0.0001784,              0.0001784
                     94,                0.95961,                0.85443,                 1.0528,                0.67372,                0.66209,                0.70567,                0.45271,                 1.2158,                 1.1823,                 1.2424,              0.0001586,              0.0001586,              0.0001586
                     95,                0.96907,                0.83959,                 1.0598,                0.70868,                0.65934,                 0.7091,                0.45916,                 1.2228,                 1.1562,                 1.2524,              0.0001388,              0.0001388,              0.0001388
                     96,                0.95627,                0.82328,                 1.0523,                0.70799,                0.65275,                 0.7132,                0.45953,                 1.2349,                 1.1726,                 1.2617,               0.000119,               0.000119,               0.000119
                     97,                0.96471,                0.84067,                 1.0589,                0.71025,                0.67582,                0.70938,                 0.4566,                 1.2232,                 1.1935,                 1.2519,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.95427,                0.83742,                 1.0548,                0.70638,                0.68681,                 0.7243,                 0.4648,                 1.2224,                 1.1804,                  1.252,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.93238,                 0.7981,                 1.0367,                0.70955,                0.70055,                0.71892,                0.45968,                 1.2133,                 1.1794,                  1.249,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.93464,                0.80049,                 1.0355,                0.69712,                0.69505,                0.71806,                0.46367,                 1.2224,                 1.1702,                 1.2509,               3.98e-05,               3.98e-05,               3.98e-05
